year	week	win	temp	rsv
2000	17	50	11.57	20
2000	18	50	14.4	9
2000	19	51	12.37	5
2000	20	51	10.49	6
2000	21	51	12.71	5
2000	22	51	13.29	3
2000	23	52	17.16	5
2000	24	52	15.4	2
2000	25	52	15.2	9
2000	26	52	15.24	6
2000	27	53	13.73	5
2000	28	53	15.8	7
2000	29	53	16.66	3
2000	30	53	17.39	2
2000	31	54	17.83	5
2000	32	54	16.33	4
2000	33	54	16.39	10
2000	34	54	14.3	5
2000	35	55	15.4	7
2000	36	55	16.04	10
2000	37	55	13.87	10
2000	38	55	13.46	16
2000	39	56	11.43	20
2000	40	56	9.67	41
2000	41	56	9.83	53
2000	42	56	10.81	80
2000	43	57	7.27	142
2000	44	57	8	216
2000	45	57	5.8	256
2000	46	57	5.63	446
2000	47	58	9.66	738
2000	48	58	9.7	876
2000	49	58	6.43	918
2000	50	58	5.07	1040
2000	51	59	0.53	981
2000	52	59	5.11	767
2001	1	59	3.14	785
2001	2	59	-0.11	475
2001	3	60	4.7	331
2001	4	60	3.59	266
2001	5	60	6.04	213
2001	6	60	3.83	177
2001	7	61	4.1	110
2001	8	61	1.2	94
2001	9	61	7.64	85
2001	10	61	4.89	60
2001	11	62	4.6	46
2001	12	62	7.41	41
2001	13	62	8.11	44
2001	14	62	8.09	29
2001	15	63	5.61	25
2001	16	63	8.37	20
2001	17	63	8.59	18
2001	18	63	13.39	15
2001	19	64	11.5	14
2001	20	64	14.59	11
2001	21	64	13.89	4
2001	22	64	11.77	5
2001	23	65	13.57	8
2001	24	65	15.09	5
2001	25	65	18.56	5
2001	26	65	20.01	6
2001	27	66	14.34	3
2001	28	66	14.71	5
2001	29	66	18.86	3
2001	30	66	17.34	3
2001	31	67	15.79	5
2001	32	67	18.44	7
2001	33	67	17.73	1
2001	34	67	15.17	7
2001	35	68	14.11	6
2001	36	68	12.93	8
2001	37	68	11.97	10
2001	38	68	14.03	24
2001	39	69	14.34	16
2001	40	69	14.31	21
2001	41	69	12.97	36
2001	42	69	12.44	40
2001	43	70	10.2	47
2001	44	70	6.96	105
2001	45	70	6.4	150
2001	46	70	7.83	189
2001	47	71	7.46	348
2001	48	71	5.34	512
2001	49	71	2.61	676
2001	50	71	2.9	766
2001	51	72	3.17	886
2001	52	72	0.23	723
2002	1	72	4.19	822
2002	2	72	6.36	510
2002	3	73	8.21	385
2002	4	73	9.24	351
2002	5	73	7.73	266
2002	6	73	6.4	217
2002	7	74	6.06	131
2002	8	74	5.77	129
2002	9	74	7.47	65
2002	10	74	7.07	69
2002	11	75	9.17	70
2002	12	75	7.89	74
2002	13	75	10.14	43
2002	14	75	6.74	49
2002	15	76	9.11	32
2002	16	76	11.5	20
2002	17	76	8.83	23
2002	18	76	10.99	9
2002	19	77	13.89	15
2002	20	77	12.76	18
2002	21	77	12.79	13
2002	22	77	13.79	11
2002	23	78	14.36	5
2002	24	78	15.4	10
2002	25	78	13.96	4
2002	26	78	14.11	4
2002	27	79	14.46	7
2002	28	79	16.49	5
2002	29	79	17.33	6
2002	30	79	17.76	4
2002	31	80	16.31	10
2002	32	80	18.54	9
2002	33	80	16.7	9
2002	34	80	15.96	6
2002	35	81	15.34	5
2002	36	81	15.29	16
2002	37	81	14.07	22
2002	38	81	13.11	18
2002	39	82	14.13	29
2002	40	82	10.63	45
2002	41	82	7.04	57
2002	42	82	9.7	92
2002	43	83	9.87	138
2002	44	83	9.8	208
2002	45	83	8.47	257
2002	46	83	6.79	402
2002	47	84	7.77	574
2002	48	84	6.36	674
2002	49	84	3.11	760
2002	50	84	3.81	758
2002	51	85	9.01	690
2002	52	85	4.41	489
2003	1	85	0.61	500
2003	2	85	6.89	295
2003	3	86	6.96	205
2003	4	86	4.3	170
2003	5	86	4.46	113
2003	6	86	2.21	93
2003	7	87	2.74	78
2003	8	87	7.39	64
2003	9	87	7.29	55
2003	10	87	6.94	59
2003	11	88	6.77	36
2003	12	88	9.1	33
2003	13	88	8.54	20
2003	14	88	5.91	26
2003	15	89	13.21	33
2003	16	89	10.37	21
2003	17	89	11.53	22
2003	18	89	10.56	14
2003	19	90	10.24	8
2003	20	90	12.03	13
2003	21	90	16.21	16
2003	22	90	15.04	10
2003	23	91	15.73	10
2003	24	91	16.61	6
2003	25	91	16.33	4
2003	26	91	15.11	7
