day	asma	pm10
227	0	16
228	0	19
229	0	18
230	2	14
231	1	16
232	2	26
233	0	36
234	0	41
235	1	37
236	0	6
237	1	8
238	1	13
239	2	9
240	0	9
241	2	21
242	3	13
243	2	12
244	4	16
245	1	18
246	1	23
247	2	26
248	0	31
249	1	43
250	0	22
251	1	27
252	1	20
253	0	18
254	0	19
255	1	16
256	1	16
257	3	13
258	0	19
259	3	21
260	0	18
261	0	22
262	0	28
263	0	17
264	1	16
265	1	22
266	0	25
267	0	30
268	0	29
269	0	20
270	1	17
271	0	11
272	0	20
273	0	26
274	1	28
275	1	16
276	0	17
277	0	19
278	2	15
279	1	22
280	0	21
281	0	27
282	1	14
283	0	16
284	2	12
285	1	17
286	0	22
287	0	19
288	0	14
289	3	8
290	4	19
291	2	22
292	2	21
293	3	22
294	1	18
295	2	17
296	1	15
297	2	27
298	1	23
299	0	16
300	0	24
301	2	28
302	1	34
303	1	12
304	0	18
305	0	25
306	0	14
307	1	17
308	0	15
309	2	14
310	0	17
311	1	24
312	1	22
313	0	19
314	1	23
315	1	33
316	0	33
317	0	21
318	1	16
319	0	15
320	1	11
321	0	20
322	2	24
323	1	16
324	0	15
325	0	18
326	0	17
327	1	14
328	0	12
329	0	17
330	1	28
331	2	29
332	0	41
333	0	37
334	3	42
335	0	50
336	4	36
337	1	34
338	0	24
339	0	35
340	0	35
341	0	33
342	0	38
343	1	42
344	0	52
345	0	33
346	2	22
347	1	16
348	0	10
349	1	15
350	1	17
351	0	23
352	2	17
353	0	15
354	1	20
355	0	18
356	1	11
357	4	19
358	1	14
359	0	15
360	3	18
361	1	12
362	2	16
363	2	19
364	0	30
365	1	46
366	1	43
367	2	11
368	1	13
369	4	10
370	1	18
371	6	20
372	4	26
373	3	36
374	1	13
375	7	13
376	2	15
377	3	24
378	4	22
379	4	24
380	5	15
381	1	17
382	4	25
383	3	35
384	1	41
385	2	30
386	3	9
387	1	29
388	0	27
389	0	12
390	3	13
391	2	35
392	2	13
393	2	22
394	5	11
395	2	14
396	3	17
397	1	13
398	2	19
399	1	21
400	0	17
401	2	19
402	2	21
403	0	41
404	1	37
405	0	13
406	3	19
407	0	23
408	0	21
409	1	36
410	0	46
411	1	48
412	1	28
413	2	21
414	1	37
415	0	58
416	0	67
417	1	56
418	1	18
419	0	11
420	0	26
421	2	25
422	0	36
423	2	26
424	1	15
425	3	12
426	1	17
427	0	31
428	2	41
429	0	44
430	1	29
431	0	18
432	5	15
433	0	20
434	2	16
435	1	21
436	2	19
437	1	29
438	1	28
439	3	16
440	0	21
441	3	36
442	1	39
443	0	42
444	3	14
445	2	13
446	1	21
447	2	33
448	1	29
449	2	21
450	1	29
451	5	27
452	1	20
453	1	19
454	1	20
455	1	18
456	1	14
457	0	20
458	1	25
459	0	27
460	0	26
461	1	14
462	2	21
463	0	32
464	0	25
465	1	30
466	1	21
467	2	20
468	2	23
469	0	17
470	1	15
471	0	12
472	5	11
473	5	13
474	1	10
475	3	21
476	1	14
477	1	16
478	1	8
479	0	23
480	2	13
481	1	9
482	0	21
483	1	24
484	0	13
485	1	16
486	2	22
487	0	30
488	0	25
489	1	30
490	1	29
491	3	13
492	0	13
493	3	19
494	0	13
495	0	5
496	2	17
497	2	44
498	0	30
499	0	26
500	0	33
501	3	20
502	2	21
503	3	15
504	1	17
505	2	74
506	1	51
507	2	71
508	3	21
509	1	31
510	1	28
511	4	31
512	4	21
513	2	23
514	0	17
515	1	15
516	2	17
517	1	19
518	2	24
519	4	25
520	2	30
521	2	37
522	3	38
523	1	30
524	1	14
525	3	25
526	0	32
527	3	33
528	2	34
529	2	16
530	1	15
531	1	18
532	0	27
533	2	29
534	1	17
535	0	16
536	1	10
537	0	8
538	1	14
539	2	8
540	1	13
541	1	15
542	1	11
543	0	13
544	2	16
545	2	25
546	1	14
547	1	15
548	1	20
549	0	25
550	0	36
551	1	27
552	2	39
553	0	24
554	2	24
555	1	23
556	3	26
557	3	26
558	3	34
559	5	33
560	1	26
561	4	14
562	2	10
563	0	18
564	4	26
565	1	32
566	0	20
567	1	23
568	3	16
569	0	15
570	0	15
571	0	13
572	0	10
573	1	18
574	1	24
575	0	19
576	1	13
577	1	9
578	4	16
579	1	9
580	2	9
581	0	13
582	0	15
583	0	14
584	0	19
585	2	22
586	0	20
587	1	18
588	2	25
589	0	23
590	1	15
591	0	19
592	0	16
593	0	11
594	0	18
595	0	19
596	0	22
597	2	24
598	0	28
599	2	19
600	1	20
601	1	20
602	1	17
603	2	12
604	0	16
605	0	26
606	0	30
607	1	11
608	1	25
609	1	43
610	0	52
611	1	45
612	1	31
613	0	22
614	2	12
615	0	19
616	1	38
617	1	42
618	0	24
619	0	26
620	1	20
621	0	13
622	0	11
623	2	17
624	1	21
625	0	23
626	0	22
627	0	34
628	1	13
629	0	21
630	2	14
631	1	18
632	0	17
633	1	19
634	0	28
635	1	9
636	2	13
637	2	13
638	1	17
639	1	15
640	0	16
641	2	15
642	2	15
643	0	25
644	2	24
645	2	16
646	0	16
647	0	20
648	0	28
649	2	16
650	2	18
651	0	16
652	1	16
653	1	19
654	0	14
655	0	10
656	1	11
657	1	14
658	1	17
659	0	20
660	2	18
661	1	30
662	0	19
663	4	13
664	0	19
665	0	20
666	1	27
667	0	17
668	2	19
669	0	16
670	4	12
671	2	20
672	0	22
673	1	24
674	0	23
675	1	18
676	1	17
677	1	17
678	0	20
679	1	17
680	0	20
681	0	18
682	2	14
683	0	18
684	0	18
685	0	17
686	0	17
687	0	11
688	1	12
689	0	20
690	1	15
691	1	14
692	0	16
693	2	19
694	0	22
695	0	16
696	0	17
697	0	16
698	0	14
699	0	34
700	1	41
701	0	14
702	0	15
703	0	18
704	0	16
705	0	18
706	2	16
707	1	22
708	0	26
709	2	17
710	0	13
711	0	14
712	0	9
713	1	17
714	0	23
715	0	15
716	1	17
717	0	21
718	0	22
719	1	16
720	2	15
721	1	33
722	0	86
723	1	31
724	1	27
725	0	29
726	2	20
727	5	21
728	3	14
729	0	16
730	1	10
731	2	15
732	0	10
733	3	12
734	3	15
735	0	16
736	0	16
737	2	23
738	0	22
739	2	25
740	1	22
741	1	28
742	1	29
743	2	31
744	1	41
745	1	46
746	0	37
747	2	41
748	1	30
749	1	26
750	2	22
751	2	18
752	2	22
753	4	18
754	2	12
755	3	17
756	2	23
757	0	23
758	3	22
759	2	25
760	2	16
761	2	13
762	2	22
763	1	18
764	2	13
765	0	21
766	0	14
767	0	12
768	1	16
769	0	15
770	0	15
771	1	16
772	3	14
773	0	15
774	0	7
775	3	12
776	1	13
777	2	10
778	1	13
779	1	12
780	0	13
781	1	15
782	4	16
783	0	13
784	0	19
785	0	25
786	1	14
787	3	30
788	0	26
789	0	15
790	1	24
791	0	22
792	2	24
793	0	13
794	1	22
795	2	20
796	3	13
797	0	26
798	2	78
799	0	52
800	2	41
801	0	24
802	2	19
803	3	19
804	2	36
805	1	29
806	2	43
807	2	20
808	3	32
809	2	24
810	2	24
811	3	29
812	2	42
813	0	26
814	0	41
815	2	19
816	4	20
817	1	24
818	1	39
819	1	17
820	1	27
821	2	18
822	1	27
823	1	19
824	1	17
825	2	13
826	4	18
827	1	17
828	0	20
829	2	14
830	2	18
831	1	17
832	4	25
833	1	21
834	5	16
835	3	13
836	2	6
837	3	12
838	3	18
839	2	11
840	3	15
841	4	25
842	1	15
843	2	12
844	1	11
845	0	13
846	1	16
847	1	24
848	1	27
849	2	12
850	0	23
851	0	17
852	0	18
853	0	30
854	0	17
855	0	19
856	1	19
857	0	12
858	1	9
859	1	10
860	2	12
861	1	11
862	0	15
863	1	26
864	0	30
865	0	19
866	1	15
867	0	11
868	0	13
869	2	19
870	0	22
871	0	35
872	2	23
873	1	32
874	2	27
875	2	23
876	5	17
877	0	15
878	0	19
879	2	12
880	1	11
881	1	20
882	3	23
883	0	28
884	1	41
885	1	41
886	1	28
887	2	15
888	0	17
889	2	17
890	0	17
891	0	14
892	2	16
893	0	17
894	1	10
895	1	19
896	0	18
897	2	28
898	0	23
899	2	15
900	2	13
901	2	17
902	0	11
903	0	8
904	1	12
905	0	15
906	1	13
907	0	15
908	1	8
909	0	12
910	1	13
911	1	14
912	1	25
913	0	46
914	2	24
915	2	16
916	1	24
917	1	22
918	0	34
919	2	22
920	1	30
921	0	21
922	1	9
923	1	14
924	1	18
925	0	19
926	1	24
927	1	16
928	1	17
929	1	19
930	1	13
931	1	23
932	0	21
933	0	41
934	1	41
935	1	16
936	1	15
937	1	12
938	0	11
939	2	19
940	0	19
941	0	17
942	1	11
943	0	10
944	0	11
945	2	12
946	0	21
947	1	19
948	0	16
949	2	16
950	0	17
951	0	14
952	0	12
953	1	21
954	1	16
955	2	20
956	1	24
957	0	17
958	1	29
959	0	33
960	0	20
961	2	16
962	0	32
963	0	32
964	1	29
965	1	35
966	2	22
967	1	27
968	0	23
969	0	19
970	1	16
971	1	19
972	1	16
973	3	19
974	0	15
975	0	14
976	2	17
977	1	19
978	3	27
979	1	14
980	1	28
981	2	39
982	0	40
983	0	18
984	0	22
985	1	14
986	1	11
987	2	15
988	2	18
989	0	21
990	0	15
991	1	15
992	1	14
993	1	16
994	0	22
995	2	19
996	1	14
997	1	14
998	1	14
999	0	12
1000	1	15
1001	0	16
1002	0	19
1003	0	19
1004	2	31
1005	0	22
1006	2	15
1007	0	17
1008	2	19
1009	1	20
1010	1	16
1011	2	20
1012	1	15
1013	1	9
1014	2	15
1015	2	21
1016	1	26
1017	0	21
1018	0	18
1019	0	24
1020	0	17
1021	3	11
1022	1	15
1023	0	16
1024	0	12
1025	0	18
1026	1	17
1027	1	12
1028	0	22
1029	3	23
1030	1	23
1031	0	25
1032	0	17
1033	0	18
1034	0	17
1035	3	23
1036	1	19
1037	1	14
1038	1	15
1039	3	18
1040	0	14
1041	2	11
1042	0	20
1043	1	12
1044	2	11
1045	0	16
1046	0	22
1047	0	20
1048	1	12
1049	0	13
1050	0	15
1051	0	13
1052	0	20
1053	1	31
1054	0	27
1055	0	28
1056	2	34
1057	1	33
1058	0	28
1059	0	22
1060	1	18
1061	0	25
1062	0	18
1063	0	17
1064	2	18
1065	2	18
1066	2	20
1067	1	20
1068	0	11
1069	1	14
1070	1	15
1071	1	17
1072	3	19
1073	0	15
1074	1	21
1075	3	17
1076	1	13
1077	1	18
1078	2	19
1079	1	26
1080	0	13
1081	0	22
1082	2	24
1083	0	20
1084	2	13
1085	1	28
1086	1	29
1087	0	35
1088	1	45
1089	0	27
1090	3	27
1091	1	39
1092	1	11
1093	0	22
1094	1	20
1095	1	28
1096	2	45
1097	0	10
1098	2	19
1099	0	29
1100	0	34
1101	2	15
1102	2	13
1103	0	16
1104	3	18
1105	4	14
1106	2	21
1107	1	22
1108	5	14
1109	1	14
1110	1	14
1111	4	11
1112	2	14
1113	3	14
1114	3	16
1115	2	13
1116	0	17
1117	2	8
1118	2	10
1119	6	17
1120	0	23
1121	0	35
1122	1	19
1123	0	10
1124	2	14
1125	3	8
1126	2	22
1127	3	29
1128	4	37
1129	0	31
1130	2	13
1131	0	22
1132	1	15
1133	0	15
1134	0	20
1135	3	30
1136	0	24
1137	1	19
1138	0	15
1139	3	12
1140	1	17
1141	1	23
1142	1	16
1143	2	27
1144	0	33
1145	0	21
1146	2	19
1147	0	15
1148	0	14
1149	0	23
1150	1	16
1151	2	13
1152	1	24
1153	1	24
1154	0	18
1155	2	21
1156	0	20
1157	1	8
1158	1	12
1159	2	14
1160	0	17
1161	0	31
1162	2	14
1163	1	18
1164	1	16
1165	3	17
1166	2	15
1167	0	23
1168	0	19
1169	4	22
1170	4	15
1171	0	14
1172	0	13
1173	0	16
1174	0	17
1175	4	26
1176	1	13
1177	1	18
1178	1	14
1179	3	9
1180	0	12
1181	2	14
1182	1	6
1183	0	12
1184	1	12
1185	0	11
1186	0	15
1187	1	9
1188	1	12
1189	2	15
1190	3	19
1191	2	17
1192	2	18
1193	1	15
1194	1	32
1195	2	13
1196	2	33
1197	0	17
1198	1	13
1199	0	12
1200	1	10
1201	0	8
1202	0	8
1203	3	22
1204	3	20
1205	2	21
1206	1	15
1207	3	19
1208	1	24
1209	5	13
1210	2	16
1211	1	12
1212	2	15
1213	1	19
1214	0	12
1215	2	18
1216	1	20
1217	4	16
1218	5	10
1219	1	12
1220	1	17
1221	2	14
1222	0	19
1223	1	19
1224	0	20
1225	0	19
1226	1	28
1227	4	21
1228	2	17
1229	2	15
1230	1	17
1231	1	24
1232	2	37
1233	2	32
1234	3	19
1235	0	11
1236	0	8
1237	4	9
1238	1	13
1239	1	16
1240	4	19
1241	1	12
1242	3	14
1243	3	27
1244	2	14
1245	2	19
1246	0	21
1247	1	23
1248	0	18
1249	4	17
1250	1	10
1251	0	22
1252	1	22
1253	2	14
1254	1	10
1255	0	9
1256	1	14
1257	1	20
1258	1	19
1259	3	18
1260	1	36
1261	0	20
1262	0	18
1263	0	19
1264	2	19
1265	2	11
1266	0	11
1267	0	10
1268	1	18
1269	1	35
1270	0	27
1271	0	15
1272	1	14
1273	0	15
1274	1	22
1275	0	14
1276	2	26
1277	0	27
1278	0	25
1279	0	27
1280	2	35
1281	0	19
1282	2	21
1283	0	24
1284	2	22
1285	1	29
1286	0	28
1287	1	34
1288	1	35
1289	3	42
1290	1	38
1291	1	20
1292	2	14
1293	1	15
1294	3	14
1295	0	16
1296	0	23
1297	0	14
1298	1	34
1299	1	25
1300	0	14
1301	0	4
1302	2	19
1303	0	21
1304	1	25
1305	2	25
1306	0	27
1307	1	59
1308	1	27
1309	2	18
1310	1	13
1311	2	17
1312	1	17
1313	0	15
1314	1	44
1315	0	10
1316	0	14
1317	0	14
1318	2	14
1319	0	16
1320	0	13
1321	1	13
1322	0	11
1323	2	12
1324	1	13
1325	0	11
1326	1	21
1327	2	16
1328	0	16
1329	0	13
1330	1	32
1331	0	13
1332	1	20
1333	0	32
1334	0	34
1335	0	29
1336	0	35
1337	1	87
1338	1	37
1339	0	26
1340	0	31
1341	2	34
1342	0	23
1343	0	26
1344	1	15
1345	0	10
1346	2	9
1347	3	10
1348	0	15
1349	2	11
1350	1	18
1351	1	11
1352	4	15
1353	1	12
1354	2	11
1355	0	9
1356	0	9
1357	2	11
1358	1	17
1359	1	16
1360	3	11
1361	0	17
1362	1	23
1363	1	10
1364	2	20
1365	0	17
1366	1	23
1367	0	24
1368	1	27
1369	1	14
1370	1	13
1371	2	15
1372	4	14
1373	1	16
1374	4	17
1375	2	23
1376	1	29
1377	1	22
1378	2	34
1379	4	26
1380	3	11
1381	0	12
1382	0	13
1383	1	14
1384	0	14
1385	0	18
1386	0	28
1387	1	23
1388	1	16
1389	2	23
1390	0	27
1391	3	18
1392	1	47
1393	2	25
1394	1	25
1395	0	19
1396	1	14
1397	1	11
1398	0	7
1399	0	14
1400	2	14
1401	1	20
1402	2	14
1403	0	14
1404	2	14
1405	0	16
1406	0	23
1407	0	26
1408	1	14
1409	3	16
1410	1	20
1411	1	19
1412	2	10
1413	3	19
1414	0	24
1415	1	27
1416	1	25
1417	0	18
1418	2	16
1419	1	14
1420	1	14
1421	1	15
1422	2	13
1423	0	17
1424	0	19
1425	0	17
1426	0	11
1427	2	13
1428	1	20
1429	2	16
1430	2	12
1431	1	18
1432	1	24
1433	0	16
1434	0	14
1435	0	11
1436	2	12
1437	0	12
1438	2	14
1439	1	13
1440	0	11
1441	1	16
1442	1	34
1443	0	28
1444	0	28
1445	6	28
1446	0	21
1447	3	14
1448	1	10
1449	0	19
1450	0	17
1451	0	22
1452	0	14
1453	2	18
1454	1	15
1455	0	29
1456	0	19
1457	1	16
1458	1	20
1459	0	20
1460	2	21
1461	1	20
1462	2	26
1463	1	15
1464	2	17
1465	0	15
1466	1	8
1467	3	12
1468	0	10
1469	1	11
1470	5	17
1471	0	14
1472	0	20
1473	2	18
1474	2	19
1475	2	16
1476	4	12
1477	1	13
1478	2	10
1479	1	14
1480	2	20
1481	2	22
1482	1	13
1483	0	16
1484	1	18
1485	2	15
1486	2	12
1487	5	18
1488	1	17
1489	2	13
1490	0	10
1491	2	10
1492	2	12
1493	1	19
1494	0	23
1495	1	14
1496	2	17
1497	2	19
1498	4	20
1499	1	21
1500	2	23
1501	2	26
1502	4	23
1503	0	20
1504	1	12
1505	0	13
1506	1	14
1507	1	14
1508	0	15
1509	0	13
1510	1	8
1511	3	10
1512	0	14
1513	1	12
1514	2	12
1515	2	18
1516	1	33
1517	2	25
1518	0	11
1519	2	14
1520	1	12
1521	1	13
1522	1	12
1523	2	7
1524	2	10
1525	4	13
1526	2	34
1527	0	20
1528	2	14
1529	3	13
1530	0	13
1531	0	10
1532	3	17
1533	1	18
1534	2	13
1535	1	29
1536	1	16
1537	0	13
1538	1	12
1539	2	19
1540	1	14
1541	1	18
1542	2	23
1543	4	13
1544	0	19
1545	1	16
1546	0	18
1547	1	19
1548	1	17
1549	1	16
1550	0	11
1551	3	14
1552	1	16
1553	2	15
1554	0	8
1555	1	14
1556	0	14
1557	2	22
1558	1	21
1559	0	24
1560	2	21
1561	1	21
1562	1	24
1563	1	26
1564	1	27
1565	0	20
1566	0	9
1567	4	12
1568	1	10
1569	2	28
1570	0	16
1571	0	22
1572	1	22
1573	1	11
1574	0	14
1575	4	10
1576	1	17
1577	3	15
1578	0	29
1579	0	19
1580	3	11
1581	2	14
1582	0	37
1583	0	15
1584	1	16
1585	2	17
1586	0	18
1587	2	12
1588	3	22
1589	1	44
1590	1	84
1591	0	59
1592	3	41
1593	0	31
1594	1	15
1595	1	12
1596	3	12
1597	1	15
1598	1	11
1599	1	16
1600	0	21
1601	2	35
1602	1	25
1603	1	18
1604	1	21
1605	2	22
1606	2	20
1607	1	14
1608	3	7
1609	0	22
1610	1	15
1611	0	26
1612	0	21
1613	2	28
1614	1	16
1615	1	8
1616	1	20
1617	2	38
1618	2	46
1619	1	51
1620	2	31
1621	0	40
1622	0	42
1623	2	29
1624	3	28
1625	0	11
1626	0	13
1627	2	16
1628	0	15
1629	2	14
1630	3	15
1631	0	17
1632	0	18
1633	1	22
1634	2	16
1635	1	20
1636	1	31
1637	0	41
1638	2	31
1639	0	20
1640	3	24
1641	0	17
1642	0	15
1643	0	13
1644	0	11
1645	3	18
1646	1	26
1647	1	23
1648	0	14
1649	1	12
1650	4	11
1651	1	19
1652	4	16
1653	1	12
1654	1	23
1655	1	33
1656	1	25
1657	1	22
1658	2	21
1659	0	26
1660	1	12
1661	0	22
1662	3	20
1663	0	15
1664	2	15
1665	1	19
1666	1	14
1667	1	11
1668	2	13
1669	2	18
1670	2	15
1671	1	12
1672	2	15
1673	4	16
1674	1	20
1675	0	22
1676	2	19
1677	0	16
1678	1	8
1679	1	16
1680	4	18
1681	1	14
1682	0	15
1683	1	24
1684	0	22
1685	2	16
1686	1	21
1687	0	23
1688	0	17
1689	1	22
1690	0	26
1691	0	12
1692	2	9
1693	1	18
1694	0	15
1695	1	15
1696	0	22
1697	1	22
1698	0	15
1699	2	13
1700	1	12
1701	1	21
1702	0	20
1703	0	30
1704	1	31
1705	1	13
1706	0	19
1707	1	18
1708	1	10
1709	1	13
1710	2	15
1711	2	16
1712	0	19
1713	1	12
1714	2	16
1715	0	17
1716	0	15
1717	2	22
1718	0	16
1719	2	23
1720	0	9
1721	2	7
1722	2	16
1723	4	14
1724	0	14
1725	0	12
1726	0	12
1727	0	12
1728	1	16
1729	0	20
1730	1	15
1731	1	12
1732	1	14
1733	0	13
1734	1	12
1735	1	18
1736	0	19
1737	0	26
1738	0	24
1739	0	15
1740	3	12
1741	1	16
1742	3	17
1743	0	17
1744	1	18
1745	1	18
1746	1	17
1747	1	15
1748	0	22
1749	1	28
1750	2	30
1751	1	28
1752	0	13
1753	1	16
1754	2	15
1755	3	17
1756	3	21
1757	1	27
1758	0	24
1759	1	29
1760	2	38
1761	1	39
1762	0	13
1763	0	15
1764	1	12
1765	1	12
1766	1	13
1767	2	16
1768	3	13
1769	2	12
1770	2	16
1771	3	20
1772	0	14
1773	0	20
1774	0	17
1775	2	11
1776	1	11
1777	1	14
1778	0	13
1779	1	25
1780	1	31
1781	3	24
1782	0	22
1783	0	24
1784	1	11
1785	2	15
1786	1	24
1787	0	27
1788	0	19
1789	0	12
1790	2	13
1791	1	19
1792	2	17
1793	0	14
1794	0	19
1795	0	15
1796	1	13
1797	1	9
1798	1	18
1799	0	23
1800	0	28
1801	1	12
1802	3	17
1803	0	24
1804	0	15
1805	1	15
1806	0	21
1807	3	27
1808	0	30
1809	1	26
1810	1	25
1811	0	13
1812	1	12
1813	1	25
1814	0	34
1815	1	27
1816	1	18
1817	0	14
1818	0	10
1819	0	14
1820	1	11
1821	0	13
1822	0	15
1823	1	16
1824	0	12
1825	1	10
1826	1	14
1827	3	14
1828	1	15
1829	3	13
1830	0	16
1831	3	16
1832	2	14
1833	2	15
1834	0	20
1835	1	18
1836	1	24
1837	0	27
1838	0	28
1839	2	16
1840	1	15
1841	1	23
1842	2	29
1843	0	19
1844	0	32
1845	0	22
1846	2	11
1847	2	22
1848	1	20
1849	1	17
1850	1	18
1851	0	20
1852	1	19
1853	0	12
1854	0	17
1855	0	18
1856	1	18
1857	0	14
1858	0	32
1859	1	41
1860	2	31
1861	1	22
1862	1	28
1863	1	28
1864	0	28
1865	1	26
1866	0	25
1867	2	11
1868	1	21
1869	1	16
1870	1	21
1871	2	21
1872	1	13
1873	0	20
1874	2	24
1875	0	20
1876	1	24
1877	0	21
1878	3	27
1879	0	31
1880	2	28
1881	1	20
1882	1	27
1883	1	21
1884	1	11
1885	0	10
1886	0	23
1887	1	22
1888	1	17
1889	3	15
1890	0	18
1891	0	27
1892	1	55
1893	1	37
1894	4	26
1895	3	44
1896	4	49
1897	1	27
1898	3	14
1899	1	14
1900	1	29
1901	1	19
1902	1	10
1903	2	28
1904	1	16
1905	1	20
1906	1	17
1907	0	11
1908	1	13
1909	1	25
1910	3	19
1911	2	19
1912	0	13
1913	0	26
1914	0	30
1915	3	33
1916	3	16
1917	0	23
1918	1	37
1919	1	26
1920	3	18
1921	0	23
1922	0	18
1923	0	17
1924	5	20
1925	0	22
1926	2	17
1927	0	16
1928	1	14
1929	2	15
1930	2	13
1931	0	8
1932	0	7
1933	2	10
1934	2	9
1935	5	17
1936	2	15
1937	1	13
1938	1	22
1939	0	36
1940	3	22
1941	3	22
1942	2	33
1943	0	27
1944	1	18
1945	2	36
1946	2	28
1947	3	33
1948	3	32
1949	0	23
1950	0	16
1951	0	21
1952	2	14
1953	1	20
1954	2	17
1955	0	13
1956	2	19
1957	3	20
1958	4	14
1959	4	18
1960	0	17
1961	1	19
1962	2	18
1963	2	22
1964	3	15
1965	1	16
1966	2	21
1967	1	25
1968	0	17
1969	1	17
1970	2	19
1971	0	11
1972	1	15
1973	4	11
1974	3	16
1975	0	21
1976	1	16
1977	0	19
1978	0	16
1979	1	11
1980	2	9
1981	0	22
1982	1	18
1983	3	25
1984	1	42
1985	1	29
1986	3	16
1987	0	18
1988	0	12
1989	1	16
1990	3	16
1991	1	14
1992	0	14
1993	1	13
1994	3	10
1995	0	13
1996	0	17
1997	3	18
1998	2	21
1999	1	22
2000	1	16
2001	1	18
2002	1	19
2003	0	16
2004	2	32
2005	2	19
2006	1	11
2007	2	14
2008	2	14
2009	0	30
2010	1	27
2011	2	14
2012	0	17
2013	0	16
2014	0	11
2015	1	15
2016	1	16
2017	1	19
2018	0	16
2019	0	23
2020	0	9
2021	2	21
2022	0	27
2023	1	15
2024	0	18
2025	0	22
2026	0	33
2027	1	34
2028	0	17
2029	0	12
2030	0	27
2031	2	34
2032	2	46
2033	0	44
2034	0	26
2035	1	14
2036	0	18
2037	0	22
2038	0	32
2039	0	35
2040	0	35
2041	2	19
2042	0	19
2043	0	22
2044	1	34
2045	0	33
2046	2	11
2047	1	25
2048	0	22
2049	0	15
2050	0	18
2051	1	21
2052	2	20
2053	2	20
2054	2	12
2055	1	9
2056	0	6
2057	1	14
2058	0	11
2059	2	15
2060	0	20
2061	2	20
2062	1	19
2063	0	14
2064	0	16
2065	1	23
2066	0	22
2067	2	43
2068	1	38
2069	0	22
2070	0	22
2071	0	18
2072	1	17
2073	2	20
2074	0	27
2075	2	24
2076	1	14
2077	2	13
2078	0	24
2079	1	17
2080	1	19
2081	0	16
2082	1	14
2083	3	13
2084	0	8
2085	0	15
2086	0	17
2087	3	12
2088	0	12
2089	3	16
2090	1	25
2091	0	23
2092	0	13
2093	0	14
2094	0	25
2095	0	28
2096	2	20
2097	1	18
2098	2	10
2099	1	16
2100	3	15
2101	1	12
2102	3	12
2103	2	18
2104	0	12
2105	1	12
2106	0	20
2107	0	16
2108	2	17
2109	1	25
2110	0	17
2111	2	9
2112	0	10
2113	1	13
2114	2	21
2115	3	16
2116	2	20
2117	1	20
2118	5	15
2119	1	8
2120	1	10
2121	2	13
2122	1	17
2123	1	16
2124	0	15
2125	3	17
2126	0	9
2127	0	12
2128	1	18
2129	3	25
2130	2	16
2131	1	18
2132	1	20
2133	2	17
2134	2	22
2135	0	15
2136	3	22
2137	1	22
2138	3	23
2139	3	14
2140	3	10
